identifier,title,keyword0,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,format,size,interactivityType,learningResourceType0,learningResourceType1,learningResourceType2,learningResourceType3,learningResourceType4,learningResourceType5,learningResourceType6,learningResourceType7,interactivityLevel,difficulty,typicalLearningTime
277,Componentes de um computador,sistema operacional,so,os,memória,entrada e saída,sistema,hardware,cpu,processador,ula,uc,registradores,barramento,ram,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,65264060.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:21:47
254,Resumo de SO e Tipos,sistema operacional,so,os,funções do so,funções,característica do so,definição,tipos de so,classificação,gerenciador,gerenciador de recursos,processo,memória,entrada e saída,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,,,,,,,,,,,,,,,,Format.VIDEO_MP4,169978500.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,LearningResourceType.FIGURE,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:33:51
266,Sistema Operacional e Gerência de Recursos,sistema operacional,so,os,funções do so,funções,característica do so,definição,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,259399.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,LearningResourceType.QUESTIONNAIRE,LearningResourceType.FIGURE,,,,,InteractivityLevel.VERY_LOW,Difficulty.DIFFICULT,00:10:06
256,SO Introdução,sistema operacional,so,os,funções do sistema operacional,característica do so,definição,tipos de so,classificação,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,concorrência,interrupção,exceção,buffering,spooling,reentrância,,,,,,Format.APPLICATION_PDF,772937.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,LearningResourceType.FIGURE,,,,,,InteractivityLevel.VERY_LOW,Difficulty.DIFFICULT,00:16:03
261,"SO, conceitos e tipos;ICFSOOC01",sistema operacional,so,os,funções do so,funções,característica do so,definição,tipos de so,classificação,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,,,,,,,,,,,Format.VIDEO_MP4,340485782.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,01:02:46
276,Apostila técnico - Organização de Computadores,sistema operacional,so,os,memória,entrada e saída,sistema,hardware,cpu,processador,ula,uc,registradores,barramento,ram,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,6866519.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.TABLE,LearningResourceType.DIAGRAM,LearningResourceType.PROBLEM_STATEMENT,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_DIFFICULT,02:52:12
273,Hardware,sistema operacional,so,os,memória,entrada e saída,sistema,hardware,cpu,processador,ula,uc,registradores,barramento,ram,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,479579.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,LearningResourceType.FIGURE,LearningResourceType.TABLE,,,,,InteractivityLevel.VERY_LOW,Difficulty.DIFFICULT,00:21:06
253,"Hardware, Software e Sistemas Operacionais",sistema operacional,so,os,funções do so,funções,característica do so,definição,tipos de so,classificação,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,hardware,cpu,processador,memória,unidade lógica e aritimética,unidade de controle,registradores,barramento,ram,entrada e saída,Format.APPLICATION_PDF,297397.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,,,,,,,InteractivityLevel.MEDIUM,Difficulty.VERY_EASY,00:29:26
270,Tipos de SO,sistema operacional,so,os,tipos de so,classificação,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,hardware,cpu,processador,sistema,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,219864.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:08:44
282,Organização dos componentes do PC,sistema operacional,so,os,memória,entrada e saída,sistema,hardware,cpu,processador,ula,uc,registradores,barramento,ram,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,411764694.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,LearningResourceType.DIAGRAM,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:29:41
263,Definição de Sistema Operacional,sistema operacional,so,os,funções do so,funções,característica do so,definição,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,265572200.0,InteractivityType.MIXED,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.EXERCISE,,,,,,InteractivityLevel.MEDIUM,Difficulty.VERY_EASY,00:28:57
260,Gerenciamento de Recursos e Sistemas do Sistema Operacional,sistema operacional,so,os,funções do so,funções,característica do so,definição,tipos de so,classificação,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,,,,,,,,,,,Format.APPLICATION_PDF,236332.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.QUESTIONNAIRE,LearningResourceType.DIAGRAM,,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:19:45
275,Revisao Organizacao e Arquitetura de Computadores,sistema operacional,so,os,memória,entrada e saída,sistema,hardware,cpu,processador,ula,uc,registradores,barramento,ram,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,338975.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,LearningResourceType.FIGURE,LearningResourceType.QUESTIONNAIRE,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:19:01
259,Sistema Operacional + Gerência de Recursos,sistema operacional,so,os,funções do so,funções,característica do so,definição,tipos de so,classificação,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,programa,escalonador,processo de primeiro plano,processo de segundo plano,,,,,,,Format.VIDEO_MP4,1243427979.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,LearningResourceType.FIGURE,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:58:57
267,O Sistema Operacinal e suas funções,sistema operacional,so,os,funções do so,funções,característica do so,definição,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,67907260.0,InteractivityType.MIXED,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.SIMULATION,,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:06:34
274,Introdução a  Arquitetura de Computadores,sistema operacional,so,os,memória,entrada e saída,sistema,hardware,cpu,processador,ula,uc,registradores,barramento,ram,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,428111.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.DIAGRAM,LearningResourceType.PROBLEM_STATEMENT,,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,01:09:06
258,Apostila Sistema Operacional e Gerenciamento de Recursos,sistema operacional,so,os,funções do so,funções,característica do so,definição,tipos de so,classificação,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,,,,,,,,,,,Format.APPLICATION_PDF,141877.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,LearningResourceType.DIAGRAM,,,,,,InteractivityLevel.VERY_LOW,Difficulty.DIFFICULT,00:23:17
281,Introdução a Arquitetura e Organização de Computadores,sistema operacional,so,os,memória,entrada e saída,sistema,hardware,cpu,processador,ula,uc,registradores,barramento,ram,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,104706886.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,LearningResourceType.DIAGRAM,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:10:50
283,Arquitetura de Computadores,sistema operacional,so,os,memória,entrada e saída,sistema,hardware,cpu,processador,ula,uc,registradores,barramento,ram,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,1722474.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,LearningResourceType.DIAGRAM,,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_DIFFICULT,01:57:30
272,SO-Tipos de Sistemas Operacionais,sistema operacional,so,os,tipos de so,classificação,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,hardware,cpu,processador,sistema,rede,distribuído,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,176714.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.QUESTIONNAIRE,LearningResourceType.DIAGRAM,,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:16:54
257,Introducao aos Sistemas Operacionais,sistema operacional,so,os,funções do so,funções,característica do so,definição,tipos de so,classificação,gerenciador,gerenciador de recursos,gerenciador de processos,gerenciador de memória,gerenciador de E/S,processo,memória,entrada e saída,sistema,monoprogramado,monotarefa,monousuário,multiprogramado,multiusuário,multitarefa,lote,bach,tempo compartilhado,tempo real,multiprocessado,histórico,,,,,,,,,,Format.APPLICATION_PDF,1345170.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,LearningResourceType.DIAGRAM,,,,,,InteractivityLevel.VERY_LOW,Difficulty.DIFFICULT,00:22:27
199,Noções de Lógica Proposicional,lógica,lógica para computação,lógica matemática,lógica proposicional,cálculo proposicional,proposição,proposição composta,conectivos lógios,tabela verdade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,230368.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.TABLE,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.DIFFICULT,00:09:41
236,Contando história dos Nnmeros e sistemas de numeração,sistemas numéricos,posicional,decimal,sistema numérico,história dos números,história dos sistemas numéricos,indo-arábico,não posicional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,122266767.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,LearningResourceType.DIAGRAM,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:08:00
244,Conversões entre bases,sistemas numéricos,decimal,binário,hexadecimal,conversões,sistema numérico,conversão,octal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,937257.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.TABLE,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:05:00
203,Lógica Proposicional,lógica,lógica para computação,lógica matemática,lógica proposicional,cálculo proposicional,proposição,valor lógico,sentenças lógicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,1407897.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.EXERCISE,LearningResourceType.TABLE,,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:08:12
232,Detalhando O que é um Sistema Numérico,sistemas numéricos,posicional,não posicional,decimal,binário,hexadecimal,conversões,sistema numérico,conversão,octal,bit,byte,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,263601380.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,01:13:31
247,"bit, byte, palavra e unidades",sistemas numéricos,binário,sistema numérico,bit,byte,word,palavra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,337270.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.EXERCISE,LearningResourceType.TABLE,,,,,,InteractivityLevel.MEDIUM,Difficulty.DIFFICULT,00:06:07
248,Sobre o Sistema Binário,binário,bit,byte,word,palavra,unidades de medida de armazenamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,1005524.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:11:13
215,Tabela Verdade e Operadores Lógicos,lógica,lógica para computação,lógica matemática,lógica proposicional,cálculo proposicional,conectivos lógios,tabela verdade,operações lógicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,21432598.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:30:05
208,Lógica Matemática e Cálculo Proposicional,lógica,lógica para computação,lógica matemática,lógica proposicional,cálculo proposicional,proposição,proposição composta,conectivos lógios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,77099008.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:40:51
207,"Proposições simples, compostas e Princípios da Lógica Proposicional",lógica,lógica para computação,lógica matemática,lógica proposicional,cálculo proposicional,proposição,proposição composta,conectivos lógios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,59477437.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.SLIDE,,,,,,,InteractivityLevel.MEDIUM,Difficulty.VERY_EASY,00:48:13
213,Lógica Proposicional e Tabela Verdade,lógica,lógica para computação,lógica matemática,lógica proposicional,cálculo proposicional,conectivos lógios,tabela verdade,operações lógicas,precedência de conectivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,721111.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.EXERCISE,LearningResourceType.TABLE,,,,,,InteractivityLevel.MEDIUM,Difficulty.MEDIUM,00:36:42
225,Introdução à Sistemas Numéricos,sistemas numéricos,posicional,não posicional,decimal,binário,hexadecimal,conversões,sistema numérico,conversão,bit,byte,word,palavra,unidades de medida de armazenamento,octal,teorema fundamental da numeração,determinando os valores de posições,multiplicando e somando,aritmética complementar,operações aritméticas,adição,subtração,multiplicação,divisão,complemento,soma,,,,,,,,,,,,,,Format.APPLICATION_PDF,291774.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.EXERCISE,,,,,,,InteractivityLevel.HIGH,Difficulty.MEDIUM,00:30:31
219,Tabela Verdade e Conectivos,lógica,lógica para computação,lógica matemática,lógica proposicional,cálculo proposicional,conectivos lógios,tabela verdade,operações lógicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,539418117.0,InteractivityType.MIXED,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.SLIDE,LearningResourceType.EXERCISE,LearningResourceType.TABLE,LearningResourceType.FIGURE,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,01:03:02
222,Tabela Verdade e Exemplos,lógica,lógica para computação,lógica matemática,lógica proposicional,cálculo proposicional,conectivos lógios,tabela verdade,operações lógicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,448525665.0,InteractivityType.MIXED,LearningResourceType.SLIDE,LearningResourceType.TABLE,LearningResourceType.EXERCISE,,,,,,InteractivityLevel.MEDIUM,Difficulty.MEDIUM,00:44:06
235,História da Origem dos Sistemas Numéricos,sistemas numéricos,posicional,decimal,sistema numérico,história dos números,história dos sistemas numéricos,indo-arábico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,493746.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.FIGURE,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:16:32
221,"Conectivos, Tabela Verdade e Exercícios",lógica,lógica para computação,lógica matemática,lógica proposicional,cálculo proposicional,conectivos lógios,tabela verdade,operações lógicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,209388829.0,InteractivityType.MIXED,LearningResourceType.SLIDE,LearningResourceType.TABLE,LearningResourceType.EXERCISE,,,,,,InteractivityLevel.MEDIUM,Difficulty.MEDIUM,01:05:30
227,Representação de Dados e Sistemas de Numeração,sistemas numéricos,posicional,não posicional,decimal,binário,hexadecimal,conversões,sistema numérico,conversão,aritmética complementar,soma em complemento de 1,soma em complemento de 2,soma em complemento,representação de números,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,157694.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:50:11
224,Informática - Sistemas numéricos,sistemas numéricos,posicional,não posicional,decimal,binário,hexadecimal,conversões,sistema numérico,conversão,bit,byte,word,palavra,unidades de medida de armazenamento,,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,233347.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.EXERCISE,LearningResourceType.TABLE,,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:24:53
252,"Unidades de Medida, bit e byte",binário,bit,byte,word,palavra,unidades de medida de armazenamento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,19435714.0,InteractivityType.EXPOSITIVE,LearningResourceType.SLIDE,LearningResourceType.TABLE,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:08:25
234,Tipos de Notação e Principais Sistemas Numéricos,sistemas numéricos,decimal,binário,hexadecimal,sistema numérico,octal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,57606807.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.SLIDE,LearningResourceType.DIAGRAM,LearningResourceType.TABLE,,,,,InteractivityLevel.VERY_LOW,Difficulty.MEDIUM,00:21:49
220,Noções de Lógica Matemática,lógica,lógica para computação,lógica matemática,lógica proposicional,cálculo proposicional,conectivos lógios,tabela verdade,operações lógicas,proposição,proposição composta,valor lógico,tautologia,contradição,implicação,equivalência,,,,,,,,,,,,,,,,,,,,,,,,,Format.APPLICATION_PDF,150217.0,InteractivityType.EXPOSITIVE,LearningResourceType.NARRATIVE_TEXT,LearningResourceType.TABLE,,,,,,,InteractivityLevel.VERY_LOW,Difficulty.VERY_EASY,00:25:32
246,Revisão Conversão de Bases,sistemas numéricos,decimal,binário,hexadecimal,conversões,sistema numérico,conversão,octal,qualquer base,quaisquer bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Format.VIDEO_MP4,283077076.0,InteractivityType.MIXED,LearningResourceType.SLIDE,LearningResourceType.TABLE,LearningResourceType.EXERCISE,,,,,,InteractivityLevel.MEDIUM,Difficulty.MEDIUM,00:57:59
